2016-10-13 11:38:59 INFO  Service:28 - getAllStudents
2016-10-14 21:47:36 INFO  Service:271 - execute updateProfessorInfo method with professor id=3 new name=new prof name new experience=55 new subject id=3 isActive=false
2016-10-14 21:47:36 INFO  Service:258 - execute getProfessorById method with professor id= 3
2016-10-14 21:47:36 INFO  Service:242 - addProfessor method with name=prof name experience=23 subject id= 2 isActive=false
2016-10-14 21:47:36 INFO  Service:37 - execute getAllStudents method
2016-10-14 21:47:36 INFO  Service:53 - execute getAllGroups method
2016-10-14 21:47:36 ERROR Service:290 - execute updateSubjectInfo method with subject id=3 new name=updated subj name new description=updated description isActive=false
2016-10-14 21:47:36 INFO  Service:229 - execute getSubjectById method with subject Id=3
2016-10-14 21:47:36 INFO  Service:133 - execute getStudentById method with student id= 10
2016-10-14 21:47:36 INFO  Service:85 - execute getAllProfessors method
2016-10-14 21:47:36 INFO  Service:69 - execute getAllSubjects method
2016-10-14 21:47:37 INFO  Service:146 - execute getAllStudentsByGroupId method with group id= 1
2016-10-14 21:47:37 INFO  Service:161 - execute getGroupById method with group id= 1
2016-10-14 21:47:37 INFO  Service:229 - execute getSubjectById method with subject Id=5
2016-10-15 18:04:37 DEBUG logging:38 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2016-10-15 18:04:37 DEBUG ClassLoaderServiceImpl:124 - Incoming config yielded no classloaders; adding standard SE ones
2016-10-15 18:04:38 DEBUG HibernatePersistenceProvider:87 - Located and parsed 1 persistence units; checking each
2016-10-15 18:04:38 DEBUG HibernatePersistenceProvider:95 - Checking persistence-unit [name=hibernate-unit, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [hibernate-unit]
2016-10-15 18:04:38 DEBUG ProviderChecker:89 - Persistence-unit [hibernate-unit] requested PersistenceProvider [org.hibernate.jpa.HibernatePersistenceProvider]
2016-10-15 18:04:38 DEBUG LogHelper:102 - PersistenceUnitInfo [
	name: hibernate-unit
	persistence provider classname: org.hibernate.jpa.HibernatePersistenceProvider
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/C:/Users/Vlad/IdeaProjects/MYSQLprj/target/classes/
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names [
		model.Student
		model.Group
		model.Subject
		model.Professor]
	Mapping files names []
	Properties [
		javax.persistence.jdbc.driver: com.mysql.jdbc.Driver
		javax.persistence.jdbc.password: root
		javax.persistence.jdbc.url: jdbc:mysql://localhost:3306/homeworkjpa
		hibernate.dialect: org.hibernate.dialect.MySQL5Dialect
		hibernate.show_sql: true
		hibernate.hbm2ddl.auto: update
		javax.persistence.jdbc.user: root]
2016-10-15 18:04:38 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2016-10-15 18:04:38 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2016-10-15 18:04:38 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2016-10-15 18:04:38 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.jpa.event.spi.JpaIntegrator].
2016-10-15 18:04:39 INFO  Version:37 - HHH000412: Hibernate Core {5.0.3.Final}
2016-10-15 18:04:39 INFO  Environment:213 - HHH000206: hibernate.properties not found
2016-10-15 18:04:39 INFO  Environment:317 - HHH000021: Bytecode provider name : javassist
2016-10-15 18:04:39 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2016-10-15 18:04:39 DEBUG RegionFactoryInitiator:88 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2016-10-15 18:04:39 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.0.Final}
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration boolean -> org.hibernate.type.BooleanType@25bbf683
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration boolean -> org.hibernate.type.BooleanType@25bbf683
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@25bbf683
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@150c158
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@eb21112
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration yes_no -> org.hibernate.type.YesNoType@706a04ae
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration byte -> org.hibernate.type.ByteType@954b04f
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration byte -> org.hibernate.type.ByteType@954b04f
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@954b04f
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration character -> org.hibernate.type.CharacterType@78186a70
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration char -> org.hibernate.type.CharacterType@78186a70
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@78186a70
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration short -> org.hibernate.type.ShortType@2641e737
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration short -> org.hibernate.type.ShortType@2641e737
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2641e737
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration integer -> org.hibernate.type.IntegerType@16f7c8c1
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration int -> org.hibernate.type.IntegerType@16f7c8c1
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@16f7c8c1
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration long -> org.hibernate.type.LongType@5579bb86
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration long -> org.hibernate.type.LongType@5579bb86
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5579bb86
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration float -> org.hibernate.type.FloatType@5fdba6f9
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration float -> org.hibernate.type.FloatType@5fdba6f9
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5fdba6f9
2016-10-15 18:04:39 DEBUG BasicTypeRegistry:135 - Adding type registration double -> org.hibernate.type.DoubleType@3b94d659
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration double -> org.hibernate.type.DoubleType@3b94d659
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3b94d659
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4ae82894
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4ae82894
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@7e9a5fbe
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@7e9a5fbe
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration string -> org.hibernate.type.StringType@15b3e5b
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.String -> org.hibernate.type.StringType@15b3e5b
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@7ba18f1b
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@5fcd892a
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration url -> org.hibernate.type.UrlType@73d4cc9e
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@73d4cc9e
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration date -> org.hibernate.type.DateType@2698dc7
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@2698dc7
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration time -> org.hibernate.type.TimeType@48a242ce
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@48a242ce
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration timestamp -> org.hibernate.type.TimestampType@1ad282e0
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1ad282e0
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1ad282e0
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@5e955596
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration calendar -> org.hibernate.type.CalendarType@3439f68d
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@3439f68d
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@3439f68d
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@17695df3
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration locale -> org.hibernate.type.LocaleType@3d8314f0
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@3d8314f0
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration currency -> org.hibernate.type.CurrencyType@3bd94634
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@3bd94634
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration timezone -> org.hibernate.type.TimeZoneType@1188e820
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@1188e820
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration class -> org.hibernate.type.ClassType@276438c9
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@276438c9
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@1442d7b5
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@1442d7b5
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@76a4d6c
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration binary -> org.hibernate.type.BinaryType@5cdd8682
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration byte[] -> org.hibernate.type.BinaryType@5cdd8682
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration [B -> org.hibernate.type.BinaryType@5cdd8682
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@290dbf45
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@290dbf45
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@290dbf45
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration image -> org.hibernate.type.ImageType@2bbaf4f0
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration characters -> org.hibernate.type.CharArrayType@33cb5951
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration char[] -> org.hibernate.type.CharArrayType@33cb5951
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration [C -> org.hibernate.type.CharArrayType@33cb5951
2016-10-15 18:04:40 DEBUG BasicTypeRegistry:135 - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@7fad8c79
